,Scores,BBox
164,0.895278,"[[ 356.04218 1129.7875 ]
 [ 411.73593 1129.7875 ]
 [ 411.73593 1151.6672 ]
 [ 356.04218 1151.6672 ]]"
165,0.9580191,"[[ 461.4625 1129.7875]
 [ 499.2547 1129.7875]
 [ 499.2547 1151.6672]
 [ 461.4625 1151.6672]]"
166,0.92576194,"[[  77.57344 1131.7766 ]
 [ 117.35469 1131.7766 ]
 [ 117.35469 1153.6562 ]
 [  77.57344 1153.6562 ]]"
167,1.018789,"[[ 119.34375 1131.7766 ]
 [ 175.0375  1131.7766 ]
 [ 175.0375  1151.6672 ]
 [ 119.34375 1151.6672 ]]"
168,0.9920706,"[[ 413.725   1131.7766 ]
 [ 459.47345 1131.7766 ]
 [ 459.47345 1151.6672 ]
 [ 413.725   1151.6672 ]]"
169,0.8495876,"[[ 177.02657 1133.7656 ]
 [ 206.8625  1133.7656 ]
 [ 206.8625  1151.6672 ]
 [ 177.02657 1151.6672 ]]"
170,0.9656418,"[[ 207.18858 1132.168  ]
 [ 250.23059 1136.0808 ]
 [ 248.35565 1156.7052 ]
 [ 205.31364 1152.7924 ]]"
171,0.93676716,"[[ 294.38126 1135.7546 ]
 [ 322.22812 1135.7546 ]
 [ 322.22812 1155.6453 ]
 [ 294.38126 1155.6453 ]]"
172,1.0083156,"[[ 250.62187 1137.7438 ]
 [ 292.39218 1137.7438 ]
 [ 292.39218 1153.6562 ]
 [ 250.62187 1153.6562 ]]"
173,0.96426564,"[[ 374.3573  1151.5096 ]
 [ 421.6222  1156.2361 ]
 [ 419.37708 1178.6868 ]
 [ 372.1122  1173.9603 ]]"
174,0.94847274,"[[ 423.67032 1153.6562 ]
 [ 469.41876 1153.6562 ]
 [ 469.41876 1173.5469 ]
 [ 423.67032 1173.5469 ]]"
175,0.8993478,"[[  97.464066 1155.6453  ]
 [ 123.32188  1155.6453  ]
 [ 123.32188  1173.5469  ]
 [  97.464066 1173.5469  ]]"
176,0.99384207,"[[ 125.68594 1153.5095 ]
 [ 174.64622 1157.9603 ]
 [ 172.77127 1178.5847 ]
 [ 123.811   1174.1339 ]]"
177,1.0166435,"[[ 175.3187  1154.8429 ]
 [ 227.67221 1157.9224 ]
 [ 226.4376  1178.9104 ]
 [ 174.08409 1175.8309 ]]"
178,1.0025494,"[[ 228.74219 1155.6453 ]
 [ 274.49063 1155.6453 ]
 [ 274.49063 1175.5359 ]
 [ 228.74219 1175.5359 ]]"
179,0.8733655,"[[ 334.1625  1155.6453 ]
 [ 371.95468 1155.6453 ]
 [ 371.95468 1177.525  ]
 [ 334.1625  1177.525  ]]"
180,0.93820775,"[[ 276.47968 1157.6344 ]
 [ 308.3047  1157.6344 ]
 [ 308.3047  1179.514  ]
 [ 276.47968 1179.514  ]]"
181,0.93420786,"[[ 308.3047 1159.6234]
 [ 334.1625 1159.6234]
 [ 334.1625 1179.514 ]
 [ 308.3047 1179.514 ]]"
182,0.9046385,"[[ 131.27812 1177.525  ]
 [ 161.11406 1177.525  ]
 [ 161.11406 1197.4156 ]
 [ 131.27812 1197.4156 ]]"
183,0.94997364,"[[ 415.71405 1177.525  ]
 [ 445.55    1177.525  ]
 [ 445.55    1197.4156 ]
 [ 415.71405 1197.4156 ]]"
184,0.92235786,"[[ 163.10312 1179.514  ]
 [ 204.87344 1179.514  ]
 [ 204.87344 1197.4156 ]
 [ 163.10312 1197.4156 ]]"
185,0.9802115,"[[ 377.92188 1179.514  ]
 [ 415.71405 1179.514  ]
 [ 415.71405 1201.3938 ]
 [ 377.92188 1201.3938 ]]"
186,0.9057026,"[[ 206.8625  1181.5032 ]
 [ 234.70938 1181.5032 ]
 [ 234.70938 1199.4047 ]
 [ 206.8625  1199.4047 ]]"
187,0.91855305,"[[ 236.69844 1181.5032 ]
 [ 272.50156 1181.5032 ]
 [ 272.50156 1201.3938 ]
 [ 236.69844 1201.3938 ]]"
188,0.97320175,"[[ 274.49063 1181.5032 ]
 [ 332.17343 1181.5032 ]
 [ 332.17343 1201.3938 ]
 [ 274.49063 1201.3938 ]]"
189,0.9702833,"[[ 338.14062 1181.5032 ]
 [ 375.9328  1181.5032 ]
 [ 375.9328  1201.3938 ]
 [ 338.14062 1201.3938 ]]"
